Step,ActiveGroups,CycleOrder,Selected,Vehicles,GreenTime
635,['north'],['north'],north,2,12
636,['north'],[],north,2,12
637,['north'],['north'],north,3,15
638,['north'],[],north,2,12
639,['north'],['north'],north,2,12
640,['north'],[],north,2,12
641,['north'],['north'],north,2,12
642,['north'],[],north,3,15
643,['north'],['north'],north,2,12
644,['north'],[],north,2,12
645,['north'],['north'],north,3,15
646,['north'],[],north,3,15
647,['north'],['north'],north,3,15
648,['north'],[],north,2,12
649,['north'],['north'],north,3,15
650,['north'],[],north,3,15
651,['north'],['north'],north,2,12
652,['north'],[],north,2,12
653,['north'],['north'],north,2,12
654,['north'],[],north,3,15
655,['north'],['north'],north,3,15
656,['north'],[],north,3,15
657,['north'],['north'],north,2,12
658,['north'],[],north,3,15
659,['north'],['north'],north,3,15
660,['north'],[],north,2,12
661,['north'],['north'],north,2,12
662,['north'],[],north,2,12
663,['north'],['north'],north,2,12
664,['north'],[],north,1,12
665,['north'],['north'],north,1,12
