Step,North,East,South,West,SelectedGroup,YOLO_Total,Fused_Total,GreenTime
402,5,0,0,3,north,0,8,25
403,5,0,0,3,west,0,8,15
404,5,0,0,2,north,0,7,25
405,5,0,0,2,north,0,7,25
406,5,0,0,2,west,0,7,12
407,5,0,0,3,north,0,8,25
408,5,0,0,2,north,0,7,25
409,5,0,0,2,west,0,7,12
410,5,0,0,2,north,0,7,25
411,5,0,0,2,north,0,7,25
412,5,0,0,2,west,0,7,12
413,5,0,0,2,north,0,7,25
414,5,0,0,3,north,0,8,25
415,5,0,0,3,west,0,8,15
416,5,0,0,3,north,0,8,25
417,5,0,0,3,north,0,8,25
418,5,0,0,3,west,0,8,15
419,5,0,0,4,north,0,9,25
420,5,0,0,4,north,0,9,25
421,5,0,0,3,west,0,8,15
422,5,0,0,3,north,0,8,25
423,5,0,0,3,north,0,8,25
424,5,0,0,2,west,0,7,12
425,5,0,0,3,north,0,8,25
426,5,0,0,3,north,0,8,25
427,5,0,0,3,west,0,8,15
428,5,0,0,4,north,0,9,25
429,5,0,0,3,north,0,8,25
430,5,0,0,3,west,0,8,15
431,5,0,0,4,north,0,9,25
432,5,0,0,4,north,0,9,25
433,5,0,0,2,west,0,7,12
434,5,0,0,3,north,0,8,25
435,5,0,0,3,north,0,8,25
436,5,0,0,2,west,0,7,12
437,5,0,0,3,north,0,8,25
438,5,0,0,2,north,0,7,25
439,5,0,0,2,west,0,7,12
440,5,0,0,2,north,0,7,25
441,5,0,0,3,north,0,8,25
442,5,0,0,3,west,0,8,15
443,5,0,0,4,north,0,9,25
444,5,0,0,3,north,0,8,25
445,5,0,0,3,west,0,8,15
446,5,0,0,3,north,0,8,25
447,5,0,0,3,north,0,8,25
448,5,0,0,3,west,0,8,15
449,5,0,0,3,north,0,8,25
450,5,0,0,2,north,0,7,25
451,5,0,0,2,west,0,7,12
452,5,0,0,3,north,0,8,25
453,5,0,0,3,north,0,8,25
454,5,0,0,3,west,0,8,15
455,5,0,0,3,north,0,8,25
456,5,0,0,3,north,0,8,25
457,5,0,0,3,west,0,8,15
458,5,0,0,4,north,0,9,25
459,5,0,0,4,north,0,9,25
460,5,0,0,2,west,0,7,12
461,5,0,0,4,north,0,9,25
462,5,0,0,3,north,0,8,25
463,5,0,0,2,west,0,7,12
464,5,0,0,3,north,0,8,25
465,5,0,0,4,north,0,9,25
466,5,0,0,3,west,0,8,15
